province,fire_id,latitude,longitude,year,size_ha,cause
Manitoba,NO106,56.9414,-99.1797,2023,563.1,Natural
Yukon,2023OC017,68.080404,-138.434946,2023,68201.82,Unknown
Yukon,2023DA038,65.917283,-138.076333,2023,3570.42,Unknown
Yukon,2023OC026,67.775724,-139.06673,2023,26367.0,Unknown
Yukon,2023OC010,67.313087,-139.732345,2023,509.22,Unknown
Yukon,2023OC024,66.253136,-139.038494,2023,17574.17,Unknown
Yukon,2023DA042,65.450033,-136.650333,2023,289.8,Unknown
Yukon,2023DA045,65.398123,-136.819642,2023,2937.22,Unknown
Yukon,2023OC018,66.027432,-135.596068,2023,17001.36,Unknown
Yukon,2023OC009,67.532533,-139.676667,2023,416.31,Natural
Yukon,2023DA043,65.383333,-136.594515,2023,590.37,Unknown
Yukon,2023DA041,65.567633,-136.681,2023,442.6,Unknown
Yukon,2023OC020,66.817032,-136.83334,2023,8700.0,Unknown
Yukon,2023OC011,67.785928,-140.392042,2023,6359.14,Unknown
Yukon,2023OC012,67.708262,-139.89993,2023,824.0,Unknown
Yukon,2023OC015,67.272133,-137.73987,2023,1105.24,Unknown
Yukon,2023OC019,66.838545,-137.398577,2023,9675.89,Unknown
Yukon,2023OC014,67.528806,-138.278775,2023,4661.76,Unknown
Yukon,2023DA044,65.263311,-136.47372,2023,973.75,Unknown
Yukon,2023OC021,66.760242,-136.729634,2023,13668.91,Unknown
Yukon,2023OC016,67.959885,-138.61084,2023,16116.0,Unknown
Northwest Territories,ZF078-23,63.13387443,-107.6224221,2023,1000.0,Natural
Northwest Territories,ZF067-23,64.4625,-113.122167,2023,342.0,Natural
Northwest Territories,ZF076-23,62.272217,-104.927767,2023,250.0,Natural
Northwest Territories,ZF062-23,65.158333,-109.822167,2023,2700.0,Natural
Northwest Territories,ZF072-23,63.625167,-115.998333,2023,22285.96,Natural
Northwest Territories,ZF071-23,64.470833,-114.679167,2023,800.0,Natural
Northwest Territories,ZF059-23,64.451667,-107.385,2023,300.0,Natural
Northwest Territories,ZF061-23,65.158333,-109.934167,2023,1300.0,Natural
Northwest Territories,ZF070-23,64.425,-114.475,2023,2179.0,Natural
Northwest Territories,EV019-23,67.592,-130.609333,2023,9000.0,Natural
Northwest Territories,ZF064-23,64.854,-114.641667,2023,2100.0,Natural
Northwest Territories,VQ028-23,64.54985,-125.545583,2023,5000.0,Natural
Northwest Territories,ZF073-23,63.793333,-115.979167,2023,12338.95,Natural
Northwest Territories,ZF066-23,64.7325,-115.986667,2023,25063.37,Natural
